,Unnamed: 0,file_id,Big_Band,Blues_Contemporary,Country_Traditional,Dance,Electronica,Experimental,Folk_International,Gospel,Grunge_Emo,Hip_Hop_Rap,Jazz_Classic,Metal_Alternative,Metal_Death,Metal_Heavy,Pop_Contemporary,Pop_Indie,Pop_Latin,Punk,Reggae,RnB_Soul,Rock_Alternative,Rock_College,Rock_Contemporary,Rock_Hard,Rock_Neo_Psychedelia,masd
6210,6210,e848f32dd63a15c5a9c1a87bb405bcc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
10974,10974,884708668ea8f86362a148fc1479bded,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
15153,15153,a0501db547579573d9e1a6188a31f6d7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
1861,1861,223e903fc4f2384331ee18365c4dea04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
13589,13589,d26a3aea857536d13c0210bf3e16b836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['Rock_Neo_Psychedelia']
10205,10205,a398e46657e1965af38d8b84c47605a0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Gospel']
4155,4155,e001bb7ba534d18c379538ce44e4db65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Metal_Alternative']
9388,9388,1c9c864dba642bad2befeed0ae11bded,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
3613,3613,8bf685555e8029468be57462d13d7f91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['Pop_Contemporary', 'Folk_International', 'Rock_Contemporary']"
17523,17523,4d0ff75a12ba3173702a646cabbd2f4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['Pop_Indie']
3157,3157,783cac3159d0b6f16e446dd68c09f1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
6983,6983,27d810d22f8ad40968919d3ed2949eca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['Rock_Neo_Psychedelia']
5156,5156,3be0913e9deb3d17097c0daa37690e99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Electronica']
2434,2434,ae5d7ae43b15678966582477bd198f27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
13616,13616,f0cee599ce8be17456b8afadde96fcb0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
12707,12707,3a82793078b39e7cb8ab71e955f6ad6b,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Metal_Alternative']
15432,15432,d339e51435f4a61a8cc7a609d7d926ed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Experimental']
