,Unnamed: 0,file_id,Pop_Rock,Electronic,Country,RnB,Jazz,Latin,International,Rap,Vocal,New Age,Folk,Reggae,Blues,topmagd
1947,1947,ab422481637f2ba5a233c58fb6411f6d,0,0,0,0,0,0,0,1,0,0,0,0,0,['Rap']
8899,8899,53144adc08979f8bc9ab585fb78f3409,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
17091,17091,b55388076bf51dbb3d0ec435e9ed5d47,1,0,0,0,0,0,1,0,0,0,0,0,0,"['International', 'Pop_Rock']"
9504,9504,fd5e343259ea126bfaff50d76f149850,1,1,0,0,0,0,0,0,0,0,0,0,0,"['Electronic', 'Pop_Rock', 'Electronic', 'Electronic', 'Pop_Rock']"
1334,1334,7c2304b3a3575566481cc5458e2b3322,0,0,0,0,1,0,0,0,0,0,0,0,0,['Jazz']
17800,17800,dd85125f443a288adeb34aa1e0c694d6,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Latin', 'Latin']"
12017,12017,b0d6d91f7e01ace88bc0dba93fb4838c,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4552,4552,da99ae118d2cc8cd4938b1d28627c136,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Country', 'Country']"
11607,11607,5652d637704261f21a9c2286272fa0b8,1,0,0,0,0,1,0,0,0,0,0,0,0,"['Latin', 'Pop_Rock']"
6463,6463,deaac4fb2f63d369fa741a7c8ab8acf7,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
20136,20136,852a6dde2df6c4a57d626c66c90c7586,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
8588,8588,138643f310afcc07d97d02b5bceb752e,0,0,0,0,0,0,0,0,1,0,0,0,0,['Vocal']
551,551,ff51ed86dd2daab050b27fd89bb9de55,0,0,0,0,0,0,0,0,1,0,0,0,0,['Vocal']
8832,8832,62133e0396348931b692e8e27885a065,1,0,1,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Country', 'Country', 'Pop_Rock', 'Pop_Rock']"
16355,16355,2d56479ec976446080eeaceac7495d2b,0,0,0,1,0,1,0,0,0,0,0,0,0,"['RnB', 'Latin']"
12390,12390,5835c7d79e19a0ffde9672a5461df20f,1,0,0,0,1,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Jazz']"
21271,21271,652dabb4b524423f252a68aa13858b6b,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
12898,12898,4cae61a1814ac43f7fc179ec048a9454,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
4401,4401,ffddc9fe3a6b04ea6d0ffca0bb84a283,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
17105,17105,c4a1d812a2fa3bea51438716149c2507,1,1,0,0,0,0,0,1,0,0,0,0,0,"['Rap', 'Pop_Rock', 'Electronic']"
6924,6924,81c16f0d3a976ac8abd0e9cbd8114f6c,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
15756,15756,187133376e456518a36be724f4c3f52c,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
8098,8098,4ea3ae70652781e24b410321c69f025f,0,0,0,0,0,0,0,0,0,0,0,1,0,['Reggae']
9985,9985,6f8167ed29d63fb081da7a30dea9b90a,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
13324,13324,a7151423764bc13fd430365b612b3fed,0,0,0,1,0,0,0,0,0,0,0,0,0,['RnB']
14163,14163,1bbdd1ea543bf126d4e4fef58f9d834e,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
9007,9007,fb057a3e0a304ce7bab6f260a4d142f1,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
8222,8222,fc0744f4dd26c302e3f7ae58b32423e8,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
12783,12783,1428675e5aed55ce64fa27c9c5f6ef00,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
7217,7217,b0a85bcf569fedcb27dbb4f64f780ece,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
21341,21341,649fa6f1cd4d03fc9e974de06fde9f67,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
15914,15914,0a27a395a8ef959d6011f384ec214ead,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
20524,20524,2874f86e28763dc88bffc70e591938da,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
13512,13512,fed7a1ec9bc6a43e8442bacecee26c3f,1,0,0,0,1,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock', 'Jazz', 'Pop_Rock']"
10078,10078,0186e5a76ff1f97cc276206ebb736889,1,1,0,1,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Electronic', 'RnB']"
16979,16979,66e5f42a4cf079b8c0261b27ac262a9e,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
560,560,b75a1ca9a4c61ae4b2124e73bf407fe5,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
19402,19402,23b2c12a051766cf2fbcadf3c1361e83,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
20001,20001,e431d7312076f05b9b950127fa9fa3ce,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
10123,10123,1aaa596bd8288024488a6f02089f085d,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
8110,8110,95ade851fff434df35c3174b56f575a6,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
19740,19740,58dcc40ae77136317e490ba44d95a1b4,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
20865,20865,c797d1c081b516ec0d4ead460d57cac9,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
484,484,37ad6447e1c334d3f5ce56c1df809b21,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
2181,2181,0d23f91920831a494572b3f5708a3bd8,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
5538,5538,d16ca6727a62d59fe0b7828bd1abda64,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
1953,1953,c62a4137064a4ebd2f768087b74dda75,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
5024,5024,d8a0d86d657d4a79d0bca558b8086ed8,0,0,0,1,0,0,0,0,0,0,0,0,0,['RnB']
21224,21224,f5735e385686fa5090626527ffcf9206,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
2152,2152,8cb78146f6ff2bd5683805c789b7da5c,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
22449,22449,f4fadd3b47db66915c58fc9312850ba0,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
5098,5098,97a5b6654a89b472fd2e9e96bee855e4,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
9294,9294,82c8d6708680d806302858923ed054b3,0,0,0,0,0,0,1,0,0,0,0,0,0,['International']
12892,12892,4b011f143520202e6af3501afc539703,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
12293,12293,c62d4a74067783e4f6c21591ef630482,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
3466,3466,b09f59669d96497db6ee0356cee69fc7,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
2559,2559,d68022f3ae3f2f3022d10a5ff8936e74,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
903,903,37ecae41a4f33d0a7b4e9d4dd2c071c5,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4866,4866,0427ad429874a83e35b2a946fc0e4d87,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
12652,12652,ea853abe3499eb927285bc09ca90eb2f,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
1212,1212,dc6eccf4fd52630f146a02ad667753b6,0,0,0,0,1,0,0,0,0,0,0,0,0,['Jazz']
15085,15085,2a0e217f50b5c085a3f8d4ce94511869,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
3243,3243,b6e30871823ae01109050a685f958373,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
2327,2327,669b134a6269bf122e5af4dcc77bff7f,0,0,0,1,0,0,0,0,0,0,0,0,0,['RnB']
15331,15331,a212cd56b8c9f2ded28290ff404e783d,1,0,1,0,0,0,0,0,0,0,0,0,0,"['Country', 'Pop_Rock', 'Country']"
12593,12593,5b67515a3a8cc39b6453077e8275823c,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
9748,9748,d3f5197ac48d045779cd72de1084dc16,0,0,0,0,0,0,0,0,0,0,0,0,1,['Blues']
15053,15053,ce25be6c5fe375b5f1ed332992366e01,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Electronic', 'Electronic', 'Electronic']"
4031,4031,4311e45db0335e944f272fc2714e2221,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
7583,7583,e430bc533e57deb0b544d49821a812c4,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
2220,2220,9f7380937414e5e675a4c6b3fa49e95b,1,0,0,0,0,0,1,0,1,0,0,0,0,"['Pop_Rock', 'International', 'Pop_Rock', 'Vocal']"
17599,17599,6b8b9b4a3bc21a09ee96017bf9344e80,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
11410,11410,629ed12312f2699d1ec25665dd72939d,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
