,Unnamed: 0,file_id,Pop_Rock,Electronic,Country,RnB,Jazz,Latin,International,Rap,Vocal,New Age,Folk,Reggae,Blues,topmagd
11840,11840,f0ab17c0b4b545dd68b2541714db7413,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
5841,5841,118337740caebec6da5f115461f85f2f,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
18192,18192,7f60f7650b02deed0461419242ed2235,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
9146,9146,6d3b8f1b9b6c0f03199784ef121c1f8d,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
18838,18838,26ad5b51d46ae948ba1d913bff335124,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
3473,3473,11eb0038f9801b5d41604f205e440b4e,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
3603,3603,ee98ebdda35b94d0d6ba19c194db9911,0,1,0,0,0,0,0,0,0,0,0,0,0,['Electronic']
4602,4602,f0581a11bad4fb6e1ee5efdeb53946a0,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
11299,11299,34258509e9bfdbe64cf8fd5e10130811,1,0,1,0,0,0,0,0,0,0,0,0,0,"['Country', 'Pop_Rock', 'Pop_Rock']"
13052,13052,70aa52551cf2eb95aa5921e369ff6b5b,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
14674,14674,31593fec1db23cec464ba2813176da4c,1,0,0,0,0,0,0,0,0,0,0,1,0,"['Reggae', 'Pop_Rock']"
4047,4047,c03d6b0474756aed349a1da1573a0b89,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
20439,20439,46c26657f1b9133908cf0a34875a1ef4,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
21439,21439,2833f36b2239a2f17b8a494ce3e0c8d9,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock', 'Pop_Rock']"
6174,6174,aea7c26084b6f6db5ea7c923f26f51a9,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
1562,1562,b01286cfa5de808fb28b1d732116be34,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock', 'Pop_Rock']"
1711,1711,83065d0e507ad6433ea8763745378994,1,0,0,0,0,1,0,0,0,0,0,0,0,"['Pop_Rock', 'Latin']"
21019,21019,515f5a2fa8d69be537f2dc66228ab024,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4396,4396,bfa118e11a54f5519bb8d0b542db550a,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4758,4758,b44abfbfc21406a9eb8b4882675bf990,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
7558,7558,0709f7979d4b7f60bef2d59f33e59c92,1,0,0,1,0,0,0,0,0,0,0,0,0,"['RnB', 'Pop_Rock']"
22447,22447,d293e6ac5072ededfbd0ee2dd7280447,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
15720,15720,04aa3de27401e7fa3e9833716a4c4d13,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
632,632,c9345dee2d041badd2614d667162082d,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
12024,12024,6d6e23b4f0e44537f8b5309ffeaa1880,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
3554,3554,a57a37fff8759b820e657fcf36bdf507,0,0,0,0,0,0,0,0,0,1,0,0,0,['New Age']
20659,20659,7e7a593c0b7ed38082b2b0a731fed3a7,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4659,4659,2c0e5b29dabc44123b18646ba31c33ee,0,0,1,0,0,0,0,0,0,0,0,0,0,['Country']
18754,18754,1908c431c5e191350c9c51553b65f54c,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
22046,22046,2a67bc101178c7c459e0a7c9e6fdcb2e,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock', 'Pop_Rock']"
21842,21842,11d4e70edfa04bc81a2fd07832f95a3b,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
13668,13668,7f52f2d57e73482c93cf14458c4b7dfb,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
22135,22135,d35cdce66a93b3bf57af3212728e1118,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4971,4971,9a69cc4ef36fe378a6e8fa2cedbf59cd,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
20962,20962,70114eb1efe107aafe828afb9bd8abbb,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Pop_Rock', 'Pop_Rock']"
2192,2192,7af03460a65caef2ce42102ac1f1e894,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
4992,4992,661788a0bd1b8a59c45085c0f0e6b18a,1,1,0,0,0,0,0,0,0,0,0,0,0,"['Electronic', 'Electronic', 'Electronic', 'Pop_Rock', 'Pop_Rock']"
22122,22122,b9414e2744a287c79449091d9df23e02,1,0,0,0,0,0,0,0,0,0,0,0,0,['Pop_Rock']
